Country,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Country_merge
Afghanistan,1.364,0.649,0.0,0.155,0.0,0.075,0.135,Afghanistan
Albania,5.411,1.371,1.122,0.696,0.841,0.103,0.057,Albania
Algeria,5.571,1.315,1.363,0.782,0.522,0.057,0.219,Algeria
Argentina,6.397,1.504,1.622,0.579,0.824,0.048,0.083,Argentina
Armenia,5.494,1.391,1.349,0.828,0.786,0.032,0.158,Armenia
Australia,6.974,1.767,1.647,0.841,0.857,0.164,0.285,Australia
Austria,6.81,1.791,1.592,0.814,0.856,0.179,0.28,Austria
Azerbaijan,4.875,1.428,1.03,0.707,0.785,0.076,0.179,Azerbaijan
Bahrain,6.03,1.752,1.391,0.609,0.907,0.148,0.167,Bahrain
Bangladesh,3.851,1.116,0.286,0.592,0.92,0.11,0.132,Bangladesh
Belgium,6.91,1.783,1.646,0.852,0.895,0.119,0.306,Belgium
Belize,6.711,1.256,1.54,0.525,1.018,0.072,0.082,Belize
Benin,4.357,0.855,0.228,0.357,0.679,0.092,0.238,Benin
Bolivia,5.868,1.173,1.356,0.346,0.817,0.067,0.052,Bolivia
Bosnia and Herzegovina,6.136,1.405,1.545,0.616,0.749,0.178,0.009,Bosnia and Herzegovina
Botswana,3.438,1.388,1.146,0.094,0.697,0.018,0.083,Botswana
Brazil,6.494,1.391,1.519,0.48,0.83,0.089,0.127,Brazil
Bulgaria,5.554,1.573,1.725,0.463,0.708,0.055,0.0,Bulgaria
Burkina Faso,4.383,0.724,0.828,0.296,0.671,0.142,0.218,Burkina Faso
Cambodia,4.341,1.049,1.215,0.481,0.988,0.138,0.078,Cambodia
Cameroon,4.887,0.944,0.986,0.302,0.662,0.099,0.06,Cameroon
Canada,6.803,1.749,1.647,0.832,0.813,0.168,0.323,Canada
Chad,4.384,0.592,0.902,0.242,0.477,0.175,0.111,Chad
Chile,6.361,1.537,1.577,0.711,0.779,0.093,0.085,Chile
China,5.921,1.445,1.307,0.789,0.764,0.079,0.154,China
Colombia,6.004,1.38,1.513,0.587,0.777,0.039,0.051,Colombia
Comoros,3.754,0.835,0.501,0.428,0.26,0.117,0.164,Comoros
Congo,5.03,1.023,0.796,0.336,0.626,0.082,0.126,Congo
Costa Rica,7.274,1.492,1.6,0.68,0.948,0.067,0.118,Costa Rica
Côte d’Ivoire,5.102,1.038,0.76,0.206,0.661,0.1,0.162,Côte d’Ivoire
Croatia,5.87,1.644,1.673,0.669,0.478,0.022,0.065,Croatia
Cyprus,5.942,1.72,1.348,0.84,0.612,0.108,0.041,Cyprus
Czechia,6.775,1.692,1.716,0.658,0.916,0.118,0.084,Czechia
Denmark,7.521,1.825,1.748,0.82,0.955,0.15,0.488,Denmark
Dominican Republic,5.846,1.457,1.5,0.615,0.866,0.063,0.186,Dominican Republic
DR Congo,3.469,0.544,0.929,0.278,0.6,0.151,0.061,DR Congo
Ecuador,5.965,1.299,1.32,0.702,0.712,0.058,0.066,Ecuador
Egypt,3.817,1.347,1.075,0.473,0.593,0.018,0.103,"Egypt, Arab Rep."
El Salvador,6.492,1.222,1.228,0.559,0.955,0.054,0.264,El Salvador
Estonia,6.417,1.65,1.716,0.642,0.902,0.128,0.378,Estonia
Eswatini,3.774,1.183,1.152,0.038,0.428,0.054,0.13,Eswatini
Ethiopia,3.898,0.757,1.051,0.416,0.54,0.182,0.1,Ethiopia
Finland,7.736,1.749,1.783,0.824,0.986,0.11,0.502,Finland
France,6.593,1.733,1.535,0.832,0.743,0.099,0.264,France
Gabon,5.12,1.386,1.224,0.387,0.651,0.042,0.086,Gabon
Gambia,4.423,0.778,0.958,0.348,0.611,0.255,0.045,"Gambia, The"
Georgia,5.4,1.444,1.275,0.482,0.844,0.0,0.172,Georgia
Germany,6.753,1.785,1.625,0.776,0.858,0.148,0.351,Germany
Ghana,4.34,1.053,1.01,0.438,0.771,0.139,0.025,Ghana
Greece,5.776,1.608,1.438,0.725,0.396,0.003,0.063,Greece
Guatemala,6.362,1.249,1.33,0.376,0.882,0.075,0.085,Guatemala
Guinea,4.929,0.873,0.791,0.306,0.676,0.157,0.098,Guinea
